LOCATIONID;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts
12_2_00100;131644.520;548220.250;-1.450;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;131625.290;548263.140;-0.710;131617.510;548280.470;1.360;131608.510;548300.540;2.230;131606.460;548305.110;3.270;131606.460;548305.110;3.270;131605.437;548307.391;3.240;131600.930;548317.420;3.230;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;131597.250;548325.640;0.540;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;131597.040;548326.090;0.440
12_2_00200;131738.340;548265.810;-1.400;131715.700;548310.950;-1.340;131714.803;548312.737;-2.629;131713.907;548314.523;-2.629;131713.010;548316.310;-1.520;131706.280;548329.720;-1.210;131700.450;548341.340;1.870;131695.970;548350.280;2.030;131694.180;548353.860;3.110;131694.180;548353.860;3.110;131693.059;548356.095;3.029;131693.060;548356.090;3.030;131692.160;548357.880;2.280;131682.970;548376.200;1.860;131680.950;548380.230;1.810;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;131677.370;548387.380;-0.100
12_2_00300;131827.100;548308.190;-1.990;131804.980;548354.140;-1.360;131804.300;548355.567;-2.230;131803.830;548356.543;-2.230;131803.250;548357.750;-1.640;131794.360;548376.220;-0.720;131792.190;548380.720;1.110;131786.120;548393.340;1.700;131784.170;548397.390;2.990;131784.170;548397.390;2.990;131783.086;548399.643;2.912;131783.080;548399.650;2.910;131781.130;548403.700;1.740;131769.210;548428.480;1.570;131769.210;548428.480;1.570;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;131768.340;548430.280;1.390
12_2_00400;131915.820;548352.170;-1.860;131886.090;548415.540;-1.180;131885.517;548416.757;-1.806;131885.163;548417.503;-1.806;131884.600;548418.710;-1.100;131881.840;548424.590;-0.540;131880.140;548428.210;1.240;131875.470;548438.170;1.860;131873.980;548441.340;3.050;131873.980;548441.340;3.050;131872.918;548443.603;2.908;131873.130;548443.150;3.040;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;131869.730;548450.390;-0.010;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;131869.520;548450.840;0.030
12_2_00500;132006.110;548394.980;-1.980;131975.990;548459.280;-1.330;131975.517;548460.293;-1.894;131975.163;548461.047;-1.894;131974.300;548462.900;-1.160;131971.960;548467.880;-0.710;131969.840;548472.410;1.240;131965.600;548481.470;1.770;131964.110;548484.640;2.910;131964.110;548484.640;2.910;131963.050;548486.904;2.889;131963.050;548486.900;2.890;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;131959.660;548494.140;-0.010;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;131959.450;548494.600;-0.030
12_2_00600;132097.560;548440.330;-1.840;132085.400;548464.950;-1.740;132084.417;548466.943;-3.129;132083.433;548468.937;-3.129;132082.450;548470.930;-1.850;132066.110;548503.990;-1.210;132060.130;548516.090;1.260;132056.150;548524.160;1.590;132053.930;548528.640;3.000;132053.930;548528.640;3.000;132052.823;548530.881;2.821;132053.050;548530.440;2.940;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;132050.170;548536.260;0.230;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;132049.720;548537.160;0.000
12_2_00700;132180.280;548479.390;-0.370;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;132150.340;548555.730;0.240;132149.060;548558.990;1.380;132145.590;548567.830;1.720;132143.950;548572.020;3.140;132143.950;548572.020;3.140;132143.037;548574.347;2.990;132143.400;548573.420;3.160;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;132139.930;548582.270;-0.290;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;132139.910;548582.320;-0.290
12_2_00800;132144.080;548510.760;-0.270;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;132212.730;548551.840;0.220;132216.160;548553.890;1.630;132225.180;548559.280;2.210;132229.470;548561.850;4.180;132229.470;548561.850;4.180;132231.615;548563.134;3.948;132230.750;548562.620;4.180;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;132244.050;548570.580;-0.180;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;132244.480;548570.840;-0.230
12_2_00900;132185.870;548428.230;-2.820;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;132256.060;548463.390;-0.740;132265.890;548468.310;1.830;132269.920;548470.330;2.150;132274.390;548472.570;4.040;132274.390;548472.570;4.040;132276.625;548473.690;3.839;132275.730;548473.240;4.100;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;132291.380;548481.070;-0.280;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;132291.820;548481.300;-0.250
12_2_01000;132230.690;548338.710;-2.650;132248.120;548347.460;-1.900;132249.140;548347.973;-2.735;132250.160;548348.487;-2.735;132251.250;548349.040;-2.170;132303.520;548375.300;-0.710;132310.220;548378.660;1.920;132314.690;548380.910;2.370;132318.710;548382.930;4.060;132318.710;548382.930;4.060;132320.944;548384.052;3.971;132320.500;548383.820;4.060;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;132335.570;548391.400;-0.270;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;132335.690;548391.460;-0.300
