Identificatie;Kunstwerken.identificatie;AlfanumeriekeWaarde;NumeriekeWaarde;Standaardafwijking.variatie;Boolean
17k6;KW_HOOGTE1;;180;0;0
17k6;KW_HOOGTE2;;3.25;0.05;1
17k6;KW_HOOGTE3;;10;0.05;1
17k6;KW_HOOGTE4;;0.1;0.15;0
17k6;KW_HOOGTE5;;10;0.05;0
17k6;KW_HOOGTE6;;1;0;0
17k6;KW_HOOGTE7;;20000;0.1;0
17k6;KW_HOOGTE8;;1;0.1;1
17k6;KW_BETSLUIT1;;200000;0.1;0
17k6;KW_BETSLUIT2;;1;0.1;1
17k6;KW_BETSLUIT3;;180;0;0
17k6;KW_BETSLUIT4;;10; 0.05;0
17k6;KW_BETSLUIT5;;-3.76; 0.05;1
17k6;KW_BETSLUIT6;;0.3;  0.1;1
17k6;KW_BETSLUIT7;;-3.76;  0.1;1
17k6;KW_BETSLUIT8;;31.5; 0.01;1
17k6;KW_BETSLUIT9;;0.05; 0.15;0
17k6;KW_BETSLUIT10;;10; 0.05;1
17k6;KW_BETSLUIT11;;1;0;0
17k6;KW_BETSLUIT12;;0.0316;0;0
17k6;KW_BETSLUIT13;;1;0;1
17k6;KW_BETSLUIT14;;1;0;1
17k6;KW_BETSLUIT15;LageDrempel;;     ;
17k6;KW_STERSTAB1;;180;0;0
17k6;KW_STERSTAB2;;1,00E+08;0.1;0
17k6;KW_STERSTAB3;;1;0.1;1
17k6;KW_STERSTAB4;;10;0.05;0
17k6;KW_STERSTAB5;;0.3;0.1;1
17k6;KW_STERSTAB6;;-3.76;0.1;1
17k6;KW_STERSTAB7;;4.5;0.15;0
17k6;KW_STERSTAB8;;10;0.05;0
17k6;KW_STERSTAB9;;90.71;0.2;0
17k6;KW_STERSTAB10;;100;0.1;0
17k6;KW_STERSTAB11;;1000;0;1
17k6;KW_STERSTAB12;;0.2;0.1;1
17k6;KW_STERSTAB13;;-3.0;0;0
17k6;KW_STERSTAB14;;3.25;0.05;1
17k6;KW_STERSTAB15;;0;0;0
17k6;KW_STERSTAB16;;1;0;0
17k6;KW_STERSTAB17;;10;0.3;0
17k6;KW_STERSTAB18;;1;0.2;0
17k6;KW_STERSTAB19;;0.5;0.2;0
17k6;KW_STERSTAB20;;1;0;0
17k6;KW_STERSTAB21;;1,00E-10;0;0
17k6;KW_STERSTAB22;;3;1;1
17k6;KW_STERSTAB23;;200;0.1;0
17k6;KW_STERSTAB24;;200;0.1;0
17k6;KW_STERSTAB25;;31.5;0.01;1
17k6;KW_STERSTAB26;LageDrempel;;;
