#EPSG;Name;IsGeographic
3819;"HD1909";True
3821;"TWD67";True
3824;"TWD97";True
3889;"IGRS";True
3906;"MGI 1901";True
4001;"Unknown datum based upon the Airy 1830 ellipsoid";True
4002;"Unknown datum based upon the Airy Modified 1849 ellipsoid";True
4003;"Unknown datum based upon the Australian National Spheroid";True
4004;"Unknown datum based upon the Bessel 1841 ellipsoid";True
4005;"Unknown datum based upon the Bessel Modified ellipsoid";True
4006;"Unknown datum based upon the Bessel Namibia ellipsoid";True
4007;"Unknown datum based upon the Clarke 1858 ellipsoid";True
4008;"Unknown datum based upon the Clarke 1866 ellipsoid";True
4009;"Unknown datum based upon the Clarke 1866 Michigan ellipsoid";True
4010;"Unknown datum based upon the Clarke 1880 (Benoit) ellipsoid";True
4011;"Unknown datum based upon the Clarke 1880 (IGN) ellipsoid";True
4012;"Unknown datum based upon the Clarke 1880 (RGS) ellipsoid";True
4013;"Unknown datum based upon the Clarke 1880 (Arc) ellipsoid";True
4014;"Unknown datum based upon the Clarke 1880 (SGA 1922) ellipsoid";True
4015;"Unknown datum based upon the Everest 1830 (1937 Adjustment) ellipsoid";True
4016;"Unknown datum based upon the Everest 1830 (1967 Definition) ellipsoid";True
4018;"Unknown datum based upon the Everest 1830 Modified ellipsoid";True
4019;"Unknown datum based upon the GRS 1980 ellipsoid";True
4020;"Unknown datum based upon the Helmert 1906 ellipsoid";True
4021;"Unknown datum based upon the Indonesian National Spheroid";True
4022;"Unknown datum based upon the International 1924 ellipsoid";True
4023;"MOLDREF99";True
4024;"Unknown datum based upon the Krassowsky 1940 ellipsoid";True
4025;"Unknown datum based upon the NWL 9D ellipsoid";True
4027;"Unknown datum based upon the Plessis 1817 ellipsoid";True
4028;"Unknown datum based upon the Struve 1860 ellipsoid";True
4029;"Unknown datum based upon the War Office ellipsoid";True
4030;"Unknown datum based upon the WGS 84 ellipsoid";True
4031;"Unknown datum based upon the GEM 10C ellipsoid";True
4032;"Unknown datum based upon the OSU86F ellipsoid";True
4033;"Unknown datum based upon the OSU91A ellipsoid";True
4034;"Unknown datum based upon the Clarke 1880 ellipsoid";True
4035;"Unknown datum based upon the Authalic Sphere";True
4036;"Unknown datum based upon the GRS 1967 ellipsoid";True
4041;"Unknown datum based upon the Average Terrestrial System 1977 ellipsoid";True
4042;"Unknown datum based upon the Everest (1830 Definition) ellipsoid";True
4043;"Unknown datum based upon the WGS 72 ellipsoid";True
4044;"Unknown datum based upon the Everest 1830 (1962 Definition) ellipsoid";True
4045;"Unknown datum based upon the Everest 1830 (1975 Definition) ellipsoid";True
4046;"RGRDC 2005";True
4047;"Unspecified datum based upon the GRS 1980 Authalic Sphere";True
4052;"Unspecified datum based upon the Clarke 1866 Authalic Sphere";True
4053;"Unspecified datum based upon the International 1924 Authalic Sphere";True
4054;"Unspecified datum based upon the Hughes 1980 ellipsoid";True
4055;"Popular Visualisation CRS";True
4075;"SREF98";True
4081;"REGCAN95";True
4120;"Greek";True
4121;"GGRS87";True
4122;"ATS77";True
4123;"KKJ";True
4124;"RT90";True
4125;"Samboja";True
4126;"LKS94 (ETRS89)";True
4127;"Tete";True
4128;"Madzansua";True
4129;"Observatario";True
4130;"Moznet";True
4131;"Indian 1960";True
4132;"FD58";True
4133;"EST92";True
4134;"PSD93";True
4135;"Old Hawaiian";True
4136;"St. Lawrence Island";True
4137;"St. Paul Island";True
4138;"St. George Island";True
4139;"Puerto Rico";True
4140;"NAD83(CSRS98)";True
4141;"Israel";True
4142;"Locodjo 1965";True
4143;"Abidjan 1987";True
4144;"Kalianpur 1937";True
4145;"Kalianpur 1962";True
4146;"Kalianpur 1975";True
4147;"Hanoi 1972";True
4148;"Hartebeesthoek94";True
4149;"CH1903";True
4150;"CH1903+";True
4151;"CHTRF95";True
4152;"NAD83(HARN)";True
4153;"Rassadiran";True
4154;"ED50(ED77)";True
4155;"Dabola 1981";True
4156;"S-JTSK";True
4157;"Mount Dillon";True
4158;"Naparima 1955";True
4159;"ELD79";True
4160;"Chos Malal 1914";True
4161;"Pampa del Castillo";True
4162;"Korean 1985";True
4163;"Yemen NGN96";True
4164;"South Yemen";True
4165;"Bissau";True
4166;"Korean 1995";True
4167;"NZGD2000";True
4168;"Accra";True
4169;"American Samoa 1962";True
4170;"SIRGAS 1995";True
4171;"RGF93";True
4172;"POSGAR";True
4173;"IRENET95";True
4174;"Sierra Leone 1924";True
4175;"Sierra Leone 1968";True
4176;"Australian Antarctic";True
4178;"Pulkovo 1942(83)";True
4179;"Pulkovo 1942(58)";True
4180;"EST97";True
4181;"Luxembourg 1930";True
4182;"Azores Occidental 1939";True
4183;"Azores Central 1948";True
4184;"Azores Oriental 1940";True
4185;"Madeira 1936";True
4188;"OSNI 1952";True
4189;"REGVEN";True
