"TrajectID";"Variabele";"TimeIntegrationSchemeID"
"1-1";"Toetspeil";1
"1-1";"Q";1
"1-1";"Hs";1
"1-1";"Tp";1
"1-1";"Tm-1,0";1
"1-1";"HBN";1
"1-1";"Gras";1
"1-1";"KwHoogte";1
"1-1";"KwSluiten";1
"1-1";"KwPuntconstructies";1
"1-2";"Toetspeil";1
"1-2";"Q";1
"1-2";"Hs";1
"1-2";"Tp";1
"1-2";"Tm-1,0";1
"1-2";"HBN";1
"1-2";"Gras";1
"1-2";"KwHoogte";1
"1-2";"KwSluiten";1
"1-2";"KwPuntconstructies";1
"2-1";"Toetspeil";1
"2-1";"Q";1
"2-1";"Hs";1
"2-1";"Tp";1
"2-1";"Tm-1,0";1
"2-1";"HBN";1
"2-1";"Gras";1
"2-1";"KwHoogte";1
"2-1";"KwSluiten";1
"2-1";"KwPuntconstructies";1
"2-2";"Toetspeil";1
"2-2";"Q";1
"2-2";"Hs";1
"2-2";"Tp";1
"2-2";"Tm-1,0";1
"2-2";"HBN";1
"2-2";"Gras";1
"2-2";"KwHoogte";1
"2-2";"KwSluiten";1
"2-2";"KwPuntconstructies";1
"3-1";"Toetspeil";1
"3-1";"Q";1
"3-1";"Hs";1
"3-1";"Tp";1
"3-1";"Tm-1,0";1
"3-1";"HBN";1
"3-1";"Gras";1
"3-1";"KwHoogte";1
"3-1";"KwSluiten";1
"3-1";"KwPuntconstructies";1
"3-2";"Toetspeil";1
"3-2";"Q";1
"3-2";"Hs";1
"3-2";"Tp";1
"3-2";"Tm-1,0";1
"3-2";"HBN";1
"3-2";"Gras";1
"3-2";"KwHoogte";1
"3-2";"KwSluiten";1
"3-2";"KwPuntconstructies";1
"4-1";"Toetspeil";1
"4-1";"Q";1
"4-1";"Hs";1
"4-1";"Tp";1
"4-1";"Tm-1,0";1
"4-1";"HBN";1
"4-1";"Gras";1
"4-1";"KwHoogte";1
"4-1";"KwSluiten";1
"4-1";"KwPuntconstructies";1
"4-2";"Toetspeil";1
"4-2";"Q";1
"4-2";"Hs";1
"4-2";"Tp";1
"4-2";"Tm-1,0";1
"4-2";"HBN";1
"4-2";"Gras";1
"4-2";"KwHoogte";1
"4-2";"KwSluiten";1
"4-2";"KwPuntconstructies";1
"5-1";"Toetspeil";1
"5-1";"Q";1
"5-1";"Hs";1
"5-1";"Tp";1
"5-1";"Tm-1,0";1
"5-1";"HBN";1
"5-1";"Gras";1
"5-1";"KwHoogte";1
"5-1";"KwSluiten";1
"5-1";"KwPuntconstructies";1
"5-2";"Toetspeil";1
"5-2";"Q";1
"5-2";"Hs";1
"5-2";"Tp";1
"5-2";"Tm-1,0";1
"5-2";"HBN";1
"5-2";"Gras";1
"5-2";"KwHoogte";1
"5-2";"KwSluiten";1
"5-2";"KwPuntconstructies";1
"6-1";"Toetspeil";1
"6-1";"Q";2
"6-1";"Hs";1
"6-1";"Tp";1
"6-1";"Tm-1,0";1
"6-1";"HBN";1
"6-1";"Gras";1
"6-1";"KwHoogte";1
"6-1";"KwSluiten";1
"6-1";"KwPuntconstructies";1
"6-2";"Toetspeil";1
"6-2";"Q";2
"6-2";"Hs";1
"6-2";"Tp";1
"6-2";"Tm-1,0";1
"6-2";"HBN";1
"6-2";"Gras";1
"6-2";"KwHoogte";1
"6-2";"KwSluiten";1
"6-2";"KwPuntconstructies";1
"6-3";"Toetspeil";1
"6-3";"Q";1
"6-3";"Hs";1
"6-3";"Tp";1
"6-3";"Tm-1,0";1
"6-3";"HBN";1
