TRAJECT_ID;N
1-1;Duin
1-2;2
2-1;Duin
2-2;2
3-1;Duin
3-2;2
4-1;Duin
4-2;2
5-1;Duin
5-2;2
6-1;3
6-2;3
6-3;3
6-4;3
6-5;3
6-6;3
6-7;3
7-1;3
7-2;3
8-1;3
8-2;3
8-3;3
8-4;3
8-5;2
8-6;2
8-7;2
9-1;2
9-2;2
10-1;2
10-2;2
10-3;2
11-1;2
11-2;2
11-3;2
12-1;3
12-2;2
13-1;Duin
13-2;3
13-3;Duin
13-4;3
13-5;3
13-6;2
13-7;2
13-8;2
13-9;2
13a-1;2
13b-1;2
14-1;2
14-2;2
14-3;2
14-4;2
14-5;Duin
14-6;3
14-7;Duin
14-8;3
14-9;Duin
14-10;3
15-1;1
15-2;2
15-3;2
16-1;1
16-2;2
16-3;1
16-4;1
16-5;1
17-1;2
17-2;2
17-3;2
18-1;2
19-1;2
20-1;Duin
20-2;2
20-3;2
20-4;2
21-1;2
21-2;2
22-1;2
22-2;2
23-1;2
24-1;1
24-2;1
24-3;1
25-1;Duin
25-2;2
25-3;2
25-4;2
26-1;Duin
26-2;2
26-3;2
26-4;2
27-1;2
27-2;2
27-3;2
27-4;2
28-1;2
29-1;Duin
29-2;3
29-3;3
29-4;2
30-1;2
30-2;2
30-3;2
30-4;2
31-1;2
31-2;2
31-3;2
32-1;2
32-2;2
32-3;2
32-4;2
33-1;2
34-1;2
34-2;2
34-3;2
34-4;2
34-5;2
34a-1;2
35-1;2
35-2;2
36-1;1
36-2;1
36-3;1
36-4;1
36-5;1
36a-1;1
37-1;1
38-1;1
38-2;1
39-1;1
40-1;1
40-2;1
41-1;1
41-2;1
41-3;1
41-4;1
42-1;1
43-1;1
43-2;1
43-3;1
43-4;1
43-5;1
43-6;1
44-1;1
44-2;2
44-3;3
45-1;1
45-2;2
45-3;2
46-1;2
47-1;1
48-1;1
48-2;1
48-3;1
49-1;1
49-2;1
50-1;1
50-2;1
51-1;1
52-1;1
52-2;1
52-3;1
52-4;1
52a-1;1
53-1;1
53-2;1
53-3;1
54-1;1
55-1;1
56-1;1
57-1;1
58-1;1
59-1;1
60-1;1
61-1;1
62-1;1
63-1;1
64-1;1
65-1;1
66-1;1
67-1;1
68-1;1
68-2;1
69-1;1
70-1;1
71-1;1
72-1;1
73-1;1
74-1;1
75-1;1
76-1;1
76-2;1
76a-1;1
77-1;1
78-1;1
78a-1;1
79-1;1
80-1;1
81-1;1
82-1;1
83-1;1
84-1;1
85-1;1
86-1;1
87-1;1
88-1;1
89-1;1
90-1;1
91-1;1
92-1;1
93-1;1
94-1;1
95-1;1
201;3
202;1
204a;2
204b;2
205;1
206;1
208;2
209;1
210;2
211;3
212;1
213;1
214;3
215;2
216;2
217;2
218;3
219;2
221;2
222;2
223;2
224;1
225;2
226;1
227;1
